,Player,Year,Shift%,PlayerYear
1308,Jose Iglesias,2015.0,0.092,2015 Jose Iglesias
1309,Brock Stassi,2017.0,0.38399999999999995,2017 Brock Stassi
1310,Nick Senzel,2019.0,0.09599999999999999,2019 Nick Senzel
1311,Alen Hanson,2018.0,0.138,2018 Alen Hanson
1312,Logan Morrison,2019.0,0.9999999999999999,2019 Logan Morrison
1313,Eduardo Nunez,2016.0,0.073,2016 Eduardo Nunez
1314,Jose Ramirez,2016.0,0.064,2016 Jose Ramirez
1315,Anthony Rendon,2016.0,0.06,2016 Anthony Rendon
1316,Max Stassi,2019.0,0.278,2019 Max Stassi
1317,Ian Desmond,2015.0,0.065,2015 Ian Desmond
1318,Andres Blanco,2015.0,0.153,2015 Andres Blanco
1319,Paulo Orlando,2016.0,0.092,2016 Paulo Orlando
1320,Brian O'Grady,2019.0,0.7659999999999998,2019 Brian O'Grady
1321,Dan Uggla,2015.0,0.27399999999999997,2015 Dan Uggla
1322,Stephen Piscotty,2017.0,0.09500000000000001,2017 Stephen Piscotty
1323,Carlos Correa,2016.0,0.058,2016 Carlos Correa
1324,Travis Snider,2015.0,0.142,2015 Travis Snider
1325,Carlos Gomez,2016.0,0.08800000000000002,2016 Carlos Gomez
1326,Didi Gregorius,2016.0,0.07400000000000001,2016 Didi Gregorius
1327,Travis Demeritte,2019.0,0.197,2019 Travis Demeritte
1328,Hanley Ramirez,2018.0,0.20499999999999996,2018 Hanley Ramirez
1329,Jose Iglesias,2016.0,0.077,2016 Jose Iglesias
1330,Chris Iannetta,2015.0,0.11700000000000002,2015 Chris Iannetta
1331,Joey Rickard,2019.0,0.19399999999999998,2019 Joey Rickard
1332,Max Stassi,2018.0,0.15999999999999998,2018 Max Stassi
1333,Scott Van Slyke,2015.0,0.15999999999999998,2015 Scott Van Slyke
1334,Caleb Joseph,2018.0,0.14,2018 Caleb Joseph
1335,Anthony Santander,2018.0,0.3520000000000001,2018 Anthony Santander
1336,Hyun Soo Kim,2017.0,0.153,2017 Hyun Soo Kim
1337,Aaron Hill,2015.0,0.11700000000000002,2015 Aaron Hill
1338,Ben Gamel,2017.0,0.069,2017 Ben Gamel
1339,Brandon Crawford,2017.0,0.07,2017 Brandon Crawford
1340,Matt Holliday,2015.0,0.142,2015 Matt Holliday
1341,Bobby Wilson,2016.0,0.161,2016 Bobby Wilson
1342,Tim Beckham,2018.0,0.098,2018 Tim Beckham
1343,Scooter Gennett,2016.0,0.073,2016 Scooter Gennett
1344,Hunter Pence,2017.0,0.071,2017 Hunter Pence
1345,Jesus Aguilar,2017.0,0.11399999999999998,2017 Jesus Aguilar
1346,Torii Hunter,2015.0,0.07200000000000001,2015 Torii Hunter
1347,Carlos Correa,2018.0,0.079,2018 Carlos Correa
1348,Hanley Ramirez,2016.0,0.062,2016 Hanley Ramirez
1349,Abraham Toro,2019.0,0.4389999999999999,2019 Abraham Toro
1350,Ezequiel Carrera,2015.0,0.20600000000000007,2015 Ezequiel Carrera
1351,Eduardo Escobar,2017.0,0.07400000000000001,2017 Eduardo Escobar
1352,Manuel Margot,2019.0,0.08499999999999999,2019 Manuel Margot
1353,Trey Mancini,2018.0,0.059000000000000004,2018 Trey Mancini
1354,Marc Krauss,2015.0,0.44700000000000006,2015 Marc Krauss
1355,Dustin Fowler,2018.0,0.19499999999999998,2018 Dustin Fowler
1356,Jorge Alfaro,2019.0,0.086,2019 Jorge Alfaro
1357,Harold Castro,2019.0,0.11299999999999999,2019 Harold Castro
1358,Alexei Ramirez,2015.0,0.068,2015 Alexei Ramirez
1359,Ildemaro Vargas,2019.0,0.19100000000000003,2019 Ildemaro Vargas
1360,Jean Segura,2019.0,0.06600000000000002,2019 Jean Segura
1361,Jason Castro,2018.0,0.4440000000000001,2018 Jason Castro
1362,Josh Harrison,2017.0,0.07200000000000001,2017 Josh Harrison
1363,Ryan Raburn,2016.0,0.139,2016 Ryan Raburn
1364,Darin Ruf,2015.0,0.128,2015 Darin Ruf
1365,Scott Van Slyke,2016.0,0.36700000000000005,2016 Scott Van Slyke
1366,Ryan Goins,2017.0,0.086,2017 Ryan Goins
1367,Steven Souza Jr.,2016.0,0.07999999999999999,2016 Steven Souza Jr.
1368,Yan Gomes,2016.0,0.15999999999999998,2016 Yan Gomes
1369,Taylor Motter,2017.0,0.131,2017 Taylor Motter
1370,Jose Abreu,2017.0,0.05699999999999999,2017 Jose Abreu
1371,Jean Segura,2015.0,0.071,2015 Jean Segura
1372,Elvis Andrus,2016.0,0.07,2016 Elvis Andrus
1373,Robinson Chirinos,2017.0,0.11499999999999999,2017 Robinson Chirinos
1374,Michael A. Taylor,2017.0,0.08900000000000002,2017 Michael A. Taylor
1375,Jayson Werth,2016.0,0.052000000000000005,2016 Jayson Werth
1376,Rajai Davis,2015.0,0.10500000000000001,2015 Rajai Davis
1377,Melky Cabrera,2018.0,0.14300000000000002,2018 Melky Cabrera
1378,Jose Abreu,2018.0,0.069,2018 Jose Abreu
1379,Matt Holliday,2016.0,0.092,2016 Matt Holliday
1380,J.T. Realmuto,2015.0,0.084,2015 J.T. Realmuto
1381,Ryan Zimmerman,2016.0,0.079,2016 Ryan Zimmerman
1382,Maikel Franco,2015.0,0.12,2015 Maikel Franco
1383,Avisail Garcia,2015.0,0.067,2015 Avisail Garcia
1384,Paul DeJong,2017.0,0.081,2017 Paul DeJong
1385,Kevin Pillar,2018.0,0.073,2018 Kevin Pillar
1386,Tommy La Stella,2018.0,0.197,2018 Tommy La Stella
1387,Tim Beckham,2019.0,0.106,2019 Tim Beckham
1388,Tommy Pham,2017.0,0.067,2017 Tommy Pham
1389,Wilmer Flores,2015.0,0.073,2015 Wilmer Flores
1390,Rene Rivera,2015.0,0.121,2015 Rene Rivera
1391,JT Riddle,2019.0,0.295,2019 JT Riddle
1392,Adam Rosales,2017.0,0.11700000000000002,2017 Adam Rosales
1393,David Bote,2019.0,0.09900000000000002,2019 David Bote
1394,Jett Bandy,2016.0,0.168,2016 Jett Bandy
1395,Marwin Gonzalez,2015.0,0.10800000000000003,2015 Marwin Gonzalez
1396,Gerardo Parra,2017.0,0.092,2017 Gerardo Parra
1397,Daniel Descalso,2016.0,0.12300000000000003,2016 Daniel Descalso
1398,Brandon Drury,2017.0,0.077,2017 Brandon Drury
1399,Addison Russell,2015.0,0.065,2015 Addison Russell
1400,Chris Owings,2015.0,0.071,2015 Chris Owings
1401,Lewis Brinson,2019.0,0.146,2019 Lewis Brinson
1402,Eric Sogard,2015.0,0.09699999999999999,2015 Eric Sogard
1403,Xander Bogaerts,2018.0,0.06,2018 Xander Bogaerts
1404,Adalberto Mondesi,2016.0,0.27399999999999997,2016 Adalberto Mondesi
1405,Ian Kinsler,2017.0,0.058,2017 Ian Kinsler
1406,Francisco Lindor,2015.0,0.08900000000000002,2015 Francisco Lindor
1407,Cliff Pennington,2015.0,0.13699999999999998,2015 Cliff Pennington
1408,Andrew Knapp,2017.0,0.171,2017 Andrew Knapp
1409,Yasmany Tomas,2016.0,0.071,2016 Yasmany Tomas
1410,Mason Williams,2018.0,0.294,2018 Mason Williams
1411,Starling Marte,2016.0,0.07,2016 Starling Marte
1412,David Freese,2015.0,0.075,2015 David Freese
1413,Martin Prado,2016.0,0.05400000000000001,2016 Martin Prado
1414,Scooter Gennett,2017.0,0.07200000000000001,2017 Scooter Gennett
1415,Carlos Correa,2015.0,0.077,2015 Carlos Correa
1416,Aaron Judge,2016.0,0.341,2016 Aaron Judge
1417,Michael Morse,2015.0,0.134,2015 Michael Morse
1418,Freddy Galvis,2018.0,0.05400000000000001,2018 Freddy Galvis
1419,J.P. Crawford,2018.0,0.22799999999999995,2018 J.P. Crawford
1420,Juan Lagares,2015.0,0.076,2015 Juan Lagares
1421,DJ Stewart,2018.0,0.721,2018 DJ Stewart
1422,Conor Gillaspie,2017.0,0.44600000000000006,2017 Conor Gillaspie
1423,Willie Calhoun,2018.0,0.36399999999999993,2018 Willie Calhoun
1424,Yasiel Puig,2016.0,0.106,2016 Yasiel Puig
1425,Adam Frazier,2018.0,0.1,2018 Adam Frazier
1426,Franchy Cordero,2018.0,0.218,2018 Franchy Cordero
1427,Yasiel Puig,2015.0,0.11200000000000002,2015 Yasiel Puig
1428,Tim Anderson,2018.0,0.062,2018 Tim Anderson
1429,Wilson Ramos,2016.0,0.07200000000000001,2016 Wilson Ramos
1430,Nick Ahmed,2015.0,0.082,2015 Nick Ahmed
1431,Tony Wolters,2017.0,0.13,2017 Tony Wolters
1432,Tony Kemp,2018.0,0.126,2018 Tony Kemp
1433,Matt Kemp,2019.0,0.584,2019 Matt Kemp
1434,Bubba Starling,2019.0,0.196,2019 Bubba Starling
1435,Jose Miguel Fernandez,2018.0,0.301,2018 Jose Miguel Fernandez
1436,David Freese,2016.0,0.065,2016 David Freese
1437,J.T. Realmuto,2017.0,0.062,2017 J.T. Realmuto
1438,Jefry Marte,2016.0,0.12300000000000003,2016 Jefry Marte
1439,Joey Rickard,2017.0,0.12300000000000003,2017 Joey Rickard
1440,J.T. Realmuto,2016.0,0.062,2016 J.T. Realmuto
1441,Sean Rodriguez,2016.0,0.1,2016 Sean Rodriguez
1442,Jon Jay,2015.0,0.15,2015 Jon Jay
1443,Dylan Cozens,2018.0,0.6750000000000002,2018 Dylan Cozens
1444,Nick Markakis,2017.0,0.049,2017 Nick Markakis
1445,Jung Ho Kang,2019.0,0.184,2019 Jung Ho Kang
1446,Tyler Naquin,2016.0,0.087,2016 Tyler Naquin
1447,Brock Holt,2018.0,0.09,2018 Brock Holt
1448,Johnny Cueto,2016.0,0.506,2016 Johnny Cueto
1449,Alex Bregman,2017.0,0.05699999999999999,2017 Alex Bregman
1450,Corban Joseph,2019.0,0.512,2019 Corban Joseph
1451,Victor Reyes,2019.0,0.109,2019 Victor Reyes
1452,Harrison Bader,2018.0,0.07400000000000001,2018 Harrison Bader
1453,Hector Sanchez,2016.0,0.618,2016 Hector Sanchez
1454,Lonnie Chisenhall,2018.0,0.36200000000000004,2018 Lonnie Chisenhall
1455,Bruce Maxwell,2016.0,0.31000000000000005,2016 Bruce Maxwell
1456,Manny Pina,2019.0,0.175,2019 Manny Pina
1457,Kevin Plawecki,2019.0,0.2,2019 Kevin Plawecki
1458,Tyler Flowers,2015.0,0.092,2015 Tyler Flowers
1459,Gio Urshela,2015.0,0.121,2015 Gio Urshela
1460,Danny Valencia,2018.0,0.121,2018 Danny Valencia
1461,Ruben Tejada,2015.0,0.083,2015 Ruben Tejada
1462,Alcides Escobar,2016.0,0.052000000000000005,2016 Alcides Escobar
1463,Jean Segura,2017.0,0.059000000000000004,2017 Jean Segura
1464,Renato Nunez,2018.0,0.12300000000000003,2018 Renato Nunez
1465,Peter Bourjos,2016.0,0.09599999999999999,2016 Peter Bourjos
1466,Carlos Perez,2016.0,0.12300000000000003,2016 Carlos Perez
1467,Steven Moya,2016.0,0.298,2016 Steven Moya
1468,Michael Conforto,2015.0,0.172,2015 Michael Conforto
1469,Manny Machado,2016.0,0.05,2016 Manny Machado
1470,Carlos Gomez,2015.0,0.073,2015 Carlos Gomez
1471,Matt Duffy,2018.0,0.06,2018 Matt Duffy
1472,Joe Panik,2017.0,0.058,2017 Joe Panik
1473,Johnny Field,2018.0,0.139,2018 Johnny Field
1474,Kevin Kramer,2019.0,0.565,2019 Kevin Kramer
1475,Wilmer Flores,2018.0,0.079,2018 Wilmer Flores
1476,Kevin Pillar,2017.0,0.05699999999999999,2017 Kevin Pillar
1477,Dan Straily,2016.0,0.525,2016 Dan Straily
1478,Hernan Perez,2016.0,0.082,2016 Hernan Perez
1479,JT Riddle,2018.0,0.10099999999999998,2018 JT Riddle
1480,Michael Cuddyer,2015.0,0.082,2015 Michael Cuddyer
1481,Manny Pina,2018.0,0.09500000000000001,2018 Manny Pina
1482,Roberto Perez,2019.0,0.065,2019 Roberto Perez
1483,Jhonny Peralta,2016.0,0.10199999999999997,2016 Jhonny Peralta
1484,Ryan Rua,2016.0,0.121,2016 Ryan Rua
1485,Rowdy Tellez,2018.0,0.46299999999999986,2018 Rowdy Tellez
1486,Elias Diaz,2019.0,0.09099999999999998,2019 Elias Diaz
1487,John Hicks,2018.0,0.106,2018 John Hicks
1488,Anthony Bemboom,2019.0,0.557,2019 Anthony Bemboom
1489,Willson Contreras,2017.0,0.077,2017 Willson Contreras
1490,Matt Davidson,2017.0,0.06600000000000002,2017 Matt Davidson
1491,Jonathan Lucroy,2016.0,0.05600000000000001,2016 Jonathan Lucroy
1492,Hanley Ramirez,2015.0,0.077,2015 Hanley Ramirez
1493,Rajai Davis,2016.0,0.06600000000000002,2016 Rajai Davis
1494,Ryon Healy,2016.0,0.11299999999999999,2016 Ryon Healy
1495,Mookie Betts,2015.0,0.046,2015 Mookie Betts
1496,Carlos Perez,2015.0,0.11299999999999999,2015 Carlos Perez
1497,Martin Maldonado,2016.0,0.121,2016 Martin Maldonado
1498,Howie Kendrick,2016.0,0.058,2016 Howie Kendrick
1499,Brandon Nimmo,2017.0,0.128,2017 Brandon Nimmo
1500,Cory Spangenberg,2018.0,0.09300000000000003,2018 Cory Spangenberg
1501,Zack Cozart,2019.0,0.304,2019 Zack Cozart
1502,Anthony Rendon,2018.0,0.05099999999999998,2018 Anthony Rendon
1503,Jonathan Lucroy,2019.0,0.08900000000000002,2019 Jonathan Lucroy
1504,Devin Mesoraco,2016.0,0.6,2016 Devin Mesoraco
1505,Amed Rosario,2018.0,0.05600000000000001,2018 Amed Rosario
1506,Alexi Amarista,2015.0,0.086,2015 Alexi Amarista
1507,Chris Shaw,2018.0,0.5310000000000001,2018 Chris Shaw
1508,Tucker Barnhart,2015.0,0.124,2015 Tucker Barnhart
1509,Franmil Reyes,2018.0,0.10300000000000004,2018 Franmil Reyes
1510,Aaron Altherr,2017.0,0.07400000000000001,2017 Aaron Altherr
1511,Erik Kratz,2018.0,0.147,2018 Erik Kratz
1512,Bobby Bradley,2019.0,0.618,2019 Bobby Bradley
1513,Jimmy Nelson,2016.0,0.536,2016 Jimmy Nelson
1514,Peter Bourjos,2015.0,0.14400000000000002,2015 Peter Bourjos
1515,Chris Owings,2016.0,0.07200000000000001,2016 Chris Owings
1516,Johnny Giavotella,2015.0,0.067,2015 Johnny Giavotella
1517,Gerardo Parra,2016.0,0.08900000000000002,2016 Gerardo Parra
1518,Tony Kemp,2016.0,0.23600000000000002,2016 Tony Kemp
1519,Avisail Garcia,2017.0,0.058,2017 Avisail Garcia
1520,Yasmany Tomas,2015.0,0.078,2015 Yasmany Tomas
1521,Shane Victorino,2015.0,0.147,2015 Shane Victorino
1522,Dae-Ho Lee,2016.0,0.09,2016 Dae-Ho Lee
1523,A.J. Pollock,2017.0,0.06600000000000002,2017 A.J. Pollock
1524,Kurt Suzuki,2016.0,0.086,2016 Kurt Suzuki
1525,Nick Williams,2017.0,0.09399999999999999,2017 Nick Williams
1526,Albert Almora Jr.,2018.0,0.071,2018 Albert Almora Jr.
1527,Ryan Flaherty,2018.0,0.165,2018 Ryan Flaherty
1528,Brett Phillips,2019.0,0.36200000000000004,2019 Brett Phillips
1529,Tony Wolters,2018.0,0.14,2018 Tony Wolters
1530,Josh Harrison,2016.0,0.059000000000000004,2016 Josh Harrison
