Year,Player,Team,Games,PA,SB,ISO,Babip,CS,Spd,GB/FB,LD,GB,FB,IFFB,HR/FB,IFH,BUH,Pull,Cent,Oppo,Soft,Med,Hard,O-Swing,Z-Swing,Swing,O-Contact,Z-Contact,Contact,Zone
2019.0,Charlie Blackmon,Rockies,140.0,634.0,2.0,0.262,0.334,5.0,4.6,1.04,23.0,39.2,37.8,7.7,17.7,4.8,100.0,42.8,32.8,24.3,15.6,44.3,40.1,33.3,70.8,49.7,70.2,88.7,81.7,43.7
2015.0,Carlos Correa,Astros,99.0,432.0,14.0,0.233,0.296,4.0,4.4,1.67,22.4,48.6,29.1,8.8,24.2,8.6,0.0,35.5,34.2,30.4,20.8,46.3,32.9,31.5,62.4,44.8,69.6,89.0,81.2,43.1
2016.0,Carlos Correa,Astros,153.0,660.0,13.0,0.177,0.328,3.0,4.5,1.83,22.4,50.1,27.4,6.6,16.5,9.5,0.0,39.0,34.7,26.3,16.3,46.5,37.2,29.4,65.1,44.8,64.2,84.5,76.9,42.9
2017.0,Carlos Correa,Astros,109.0,481.0,2.0,0.235,0.352,1.0,3.2,1.51,20.4,47.9,31.7,6.6,22.6,10.0,0.0,30.5,40.7,28.7,15.0,45.5,39.5,27.7,62.0,42.2,66.6,87.8,79.8,42.4
2018.0,Carlos Correa,Astros,110.0,468.0,3.0,0.167,0.282,0.0,3.7,1.23,20.2,44.0,35.8,9.3,13.9,6.8,0.0,34.8,33.4,31.8,17.9,53.3,28.8,28.7,62.8,42.2,64.7,86.7,77.7,39.6
2019.0,Carlos Correa,Astros,75.0,321.0,1.0,0.289,0.303,0.0,2.7,0.99,21.3,39.1,39.6,9.8,25.6,13.6,0.0,38.6,34.8,26.6,20.8,34.3,44.9,31.1,62.6,44.3,66.4,84.4,77.1,42.0
2015.0,Corey Seager,Dodgers,27.0,113.0,2.0,0.224,0.387,0.0,5.7,2.0,20.3,53.2,26.6,0.0,19.0,2.4,0.0,38.0,45.6,16.5,15.2,38.0,46.8,29.3,77.2,51.0,56.2,88.1,78.0,45.3
2016.0,Corey Seager,Dodgers,157.0,687.0,3.0,0.204,0.355,3.0,4.1,1.58,24.4,46.3,29.3,2.1,17.9,3.5,0.0,37.1,34.3,28.6,12.7,47.6,39.7,32.2,79.0,52.9,59.4,88.4,78.6,44.3
2017.0,Corey Seager,Dodgers,145.0,613.0,4.0,0.184,0.352,2.0,2.7,1.27,24.8,42.1,33.1,4.4,16.2,4.6,0.0,36.5,35.5,28.0,12.9,43.1,44.0,29.1,78.8,50.1,54.3,86.4,75.6,42.3
2018.0,Corey Seager,Dodgers,26.0,115.0,0.0,0.129,0.301,0.0,2.9,1.65,28.2,44.7,27.1,0.0,8.7,2.6,0.0,36.5,36.5,27.1,16.5,48.2,35.3,25.2,77.9,48.4,57.4,89.9,80.4,44.0
2019.0,Corey Seager,Dodgers,134.0,541.0,1.0,0.211,0.303,0.0,3.2,0.99,21.8,39.0,39.2,4.5,12.3,5.8,0.0,37.2,34.7,28.1,14.7,43.0,42.3,30.7,79.5,51.1,57.2,86.9,76.5,41.9
2015.0,Matt Carpenter,Cardinals,154.0,665.0,4.0,0.233,0.321,3.0,3.8,0.71,28.5,29.7,41.7,2.3,15.8,7.9,100.0,39.3,36.8,23.9,11.2,51.8,37.0,22.5,60.1,38.9,65.9,87.0,80.2,43.8
2016.0,Matt Carpenter,Cardinals,129.0,566.0,0.0,0.235,0.307,4.0,4.0,0.71,26.2,30.6,43.2,4.4,13.3,2.7,16.7,48.1,32.8,19.1,9.9,48.1,41.9,22.6,58.8,38.7,63.1,92.1,82.6,44.3
2017.0,Matt Carpenter,Cardinals,145.0,622.0,2.0,0.209,0.274,1.0,3.1,0.53,22.3,26.9,50.8,4.8,12.2,3.0,57.1,47.2,31.4,21.4,12.1,45.6,42.2,16.5,54.7,34.1,66.0,88.4,82.5,46.0
2018.0,Matt Carpenter,Cardinals,156.0,677.0,4.0,0.266,0.291,1.0,3.1,0.56,26.7,26.4,46.9,2.1,19.1,5.7,88.9,48.3,29.3,22.4,9.3,41.7,49.0,21.0,57.7,37.1,56.5,87.1,77.3,43.7
2019.0,Matt Carpenter,Cardinals,129.0,492.0,6.0,0.166,0.285,1.0,4.5,0.73,25.3,31.6,43.1,2.4,12.1,5.5,60.0,46.4,29.4,24.2,11.3,47.1,41.6,22.8,63.6,40.2,60.3,84.0,76.3,42.7
2015.0,Andrelton Simmons,Braves,147.0,583.0,5.0,0.073,0.285,3.0,3.6,2.51,21.4,56.2,22.4,9.3,3.7,6.6,12.5,34.5,42.2,23.3,20.8,56.3,22.9,28.3,65.1,46.0,79.7,93.7,89.3,48.2
2016.0,Andrelton Simmons,Angels,124.0,483.0,10.0,0.085,0.298,1.0,4.7,2.14,19.5,54.9,25.6,7.6,3.8,4.4,20.0,35.7,38.8,25.5,21.0,55.7,23.4,27.6,70.2,47.5,76.8,93.7,88.5,46.8
2017.0,Andrelton Simmons,Angels,158.0,647.0,19.0,0.143,0.291,6.0,5.0,1.57,19.0,49.5,31.5,11.4,8.4,7.7,100.0,45.3,34.2,20.6,20.6,50.2,29.2,27.7,65.9,45.9,79.9,91.5,87.8,47.5
2018.0,Andrelton Simmons,Angels,146.0,600.0,10.0,0.125,0.3,2.0,5.0,1.6,19.0,49.9,31.1,13.2,6.9,11.0,40.0,51.0,33.1,15.9,21.3,42.6,36.0,28.0,66.6,45.2,77.9,92.9,87.7,44.6
2019.0,Andrelton Simmons,Angels,103.0,424.0,10.0,0.101,0.277,2.0,4.2,1.7,14.4,53.9,31.7,14.9,6.1,4.1,0.0,49.9,33.0,17.2,19.4,46.3,34.3,32.3,68.6,47.7,73.5,95.1,86.7,42.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016.0,Aaron Judge,Yankees,27.0,95.0,0.0,0.167,0.282,1.0,2.1,0.68,14.0,34.9,51.2,0.0,18.2,6.7,0.0,46.5,32.6,20.9,9.3,41.9,48.8,33.6,63.4,45.6,36.6,78.9,60.2,40.2
2017.0,Aaron Judge,Yankees,155.0,678.0,9.0,0.343,0.357,4.0,4.8,0.81,21.9,34.9,43.2,6.2,35.6,4.2,0.0,41.4,30.8,27.8,11.2,43.5,45.3,24.7,66.2,41.1,44.8,80.6,67.6,39.5
