Year,Player,Team,Games,PA,SB,ISO,Babip,CS,Spd,GB/FB,LD,GB,FB,IFFB,HR/FB,IFH,BUH,Pull,Cent,Oppo,Soft,Med,Hard,O-Swing,Z-Swing,Swing,O-Contact,Z-Contact,Contact,Zone
2019.0,Brandon Crawford,Giants,147.0,560.0,3.0,0.122,0.274,2.0,3.2,1.7,23.4,48.2,28.4,8.3,10.1,3.8,66.7,38.8,38.2,23.0,17.6,43.2,39.3,32.1,78.1,51.3,60.2,82.4,74.3,41.7
2015.0,Jean Segura,Brewers,142.0,584.0,25.0,0.079,0.298,6.0,6.4,2.43,16.7,59.0,24.2,8.8,5.3,9.1,0.0,24.8,37.9,37.3,25.6,54.7,19.7,38.5,69.9,53.2,73.4,91.5,84.5,46.7
2016.0,Jean Segura,Diamondbacks,153.0,694.0,33.0,0.181,0.353,10.0,6.8,1.91,19.1,53.1,27.8,5.4,13.5,9.5,33.3,31.4,36.3,32.3,16.2,54.1,29.7,31.1,64.0,46.5,71.2,92.3,84.8,46.9
2017.0,Jean Segura,Mariners,125.0,566.0,22.0,0.128,0.339,8.0,5.5,2.06,19.3,54.3,26.4,3.4,9.5,8.8,50.0,29.9,42.3,27.8,19.7,52.0,28.3,33.8,66.1,49.2,76.7,90.1,85.3,47.7
2018.0,Jean Segura,Mariners,144.0,632.0,20.0,0.111,0.327,11.0,5.5,1.76,19.3,51.5,29.2,13.9,6.6,9.8,30.0,35.7,40.8,23.5,20.9,53.3,25.8,34.6,66.0,48.2,78.3,95.1,88.3,43.2
2019.0,Jean Segura,Phillies,144.0,618.0,10.0,0.141,0.302,2.0,5.4,1.91,21.0,51.9,27.1,11.7,8.8,8.0,0.0,34.5,39.8,25.6,20.7,46.2,33.1,37.2,61.0,47.0,77.6,94.3,86.6,41.4
2015.0,Michael Conforto,Mets,56.0,194.0,0.0,0.236,0.297,1.0,2.3,1.0,22.6,38.7,38.7,13.2,17.0,9.4,0.0,45.3,35.0,19.7,16.8,42.3,40.9,24.0,68.0,43.1,61.4,87.2,79.1,43.3
2016.0,Michael Conforto,Mets,109.0,348.0,2.0,0.194,0.267,1.0,3.3,0.81,18.8,36.2,45.0,10.2,12.2,5.1,0.0,42.7,32.6,24.8,17.4,42.7,39.9,27.2,66.2,44.1,59.7,88.4,78.4,43.4
2017.0,Michael Conforto,Mets,109.0,440.0,2.0,0.276,0.328,0.0,3.6,1.0,24.4,37.8,37.8,10.1,27.3,10.1,0.0,32.4,39.7,27.9,20.2,38.2,41.6,26.6,63.7,42.8,56.9,81.5,72.9,43.7
2018.0,Michael Conforto,Mets,153.0,638.0,3.0,0.204,0.289,4.0,2.4,1.2,19.6,43.8,36.6,8.5,19.7,7.6,0.0,43.0,31.7,25.3,17.8,46.4,35.8,27.6,65.1,43.2,58.7,84.0,74.5,41.5
2019.0,Michael Conforto,Mets,151.0,648.0,7.0,0.237,0.29,2.0,3.7,0.9,23.9,36.1,40.0,7.5,20.5,4.8,33.3,41.2,31.1,27.7,13.6,49.9,36.5,27.3,72.4,45.7,63.4,81.8,75.3,40.8
2015.0,Tyler Flowers,White Sox,112.0,361.0,0.0,0.118,0.32,1.0,0.6,1.3,17.1,46.9,36.0,12.2,11.0,4.7,0.0,40.0,31.7,28.3,19.1,50.0,30.9,29.5,70.5,50.0,52.9,80.9,72.6,50.0
2016.0,Tyler Flowers,Braves,83.0,325.0,0.0,0.149,0.366,0.0,0.7,1.08,18.6,42.3,39.2,5.3,10.5,4.9,0.0,35.1,37.1,27.8,12.9,43.3,43.8,27.3,67.7,45.7,53.1,85.0,74.7,45.7
2017.0,Tyler Flowers,Braves,99.0,370.0,0.0,0.164,0.342,1.0,1.4,1.27,24.5,42.2,33.3,5.1,15.2,7.0,0.0,43.9,28.3,27.8,18.1,44.7,37.1,28.6,73.4,47.9,64.0,85.7,78.3,43.2
2018.0,Tyler Flowers,Braves,82.0,296.0,0.0,0.131,0.292,0.0,1.5,1.11,21.0,41.5,37.5,7.6,12.1,9.6,0.0,45.5,34.1,20.5,12.5,38.6,48.9,24.2,70.5,43.7,52.4,82.8,73.1,42.2
2019.0,Tyler Flowers,Braves,85.0,310.0,0.0,0.185,0.325,0.0,3.7,1.31,20.2,45.2,34.5,12.1,19.0,7.9,0.0,42.3,33.3,24.4,14.3,44.0,41.7,30.9,68.0,46.9,46.1,78.0,66.0,43.2
2015.0,Ian Kinsler,Tigers,154.0,675.0,10.0,0.131,0.323,6.0,5.4,0.83,25.4,33.9,40.7,12.7,5.0,6.0,83.3,41.9,34.1,24.0,17.1,56.5,26.4,28.0,69.6,47.2,77.3,94.5,89.0,46.3
2016.0,Ian Kinsler,Tigers,153.0,679.0,14.0,0.196,0.314,6.0,5.8,0.71,23.9,31.6,44.5,8.5,12.5,6.9,66.7,44.1,35.0,20.9,18.6,47.4,34.0,27.3,64.1,44.9,69.5,92.6,85.2,47.7
2017.0,Ian Kinsler,Tigers,139.0,613.0,14.0,0.176,0.244,5.0,5.6,0.71,20.6,32.9,46.5,14.4,10.2,2.6,0.0,38.9,34.8,26.2,18.7,44.3,37.0,27.2,65.5,44.3,73.6,92.5,86.1,44.6
2018.0,Ian Kinsler,2 Teams,128.0,534.0,16.0,0.14,0.25,7.0,4.4,0.87,21.4,36.6,42.0,16.2,7.8,4.5,0.0,43.7,33.8,22.5,19.7,50.9,29.3,27.1,68.3,45.4,78.7,93.8,88.8,44.3
2019.0,Ian Kinsler,Padres,87.0,281.0,2.0,0.151,0.24,4.0,2.4,0.98,16.8,41.1,42.1,18.8,10.6,6.0,66.7,49.8,31.7,18.5,23.9,42.9,33.2,29.2,70.5,47.6,70.9,87.4,81.8,44.6
2015.0,Adrián Beltré,Rangers,143.0,619.0,1.0,0.166,0.295,0.0,3.6,1.16,22.7,41.6,35.7,8.2,9.9,9.0,0.0,38.8,38.6,22.5,14.3,52.0,33.7,35.9,64.3,48.4,75.4,90.4,84.2,44.1
2016.0,Adrián Beltré,Rangers,153.0,640.0,1.0,0.221,0.293,1.0,2.1,0.95,17.7,40.2,42.1,11.0,14.6,6.2,0.0,41.0,34.6,24.4,16.3,48.1,35.6,36.4,66.0,49.2,79.7,89.7,85.5,43.0
2017.0,Adrián Beltré,Rangers,94.0,389.0,1.0,0.221,0.321,0.0,2.3,1.17,19.7,43.2,37.1,11.0,15.6,3.1,0.0,41.2,38.1,20.7,17.3,46.6,36.1,33.4,66.2,46.7,74.4,89.2,82.9,40.6
2018.0,Adrián Beltré,Rangers,119.0,481.0,1.0,0.162,0.312,0.0,2.3,1.05,25.8,38.0,36.2,8.0,12.0,9.2,0.0,38.8,32.8,28.4,14.2,43.5,42.3,33.7,62.0,45.5,69.1,86.6,79.0,41.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015.0,Todd Frazier,Reds,157.0,678.0,13.0,0.242,0.271,8.0,3.7,0.69,19.1,33.1,47.7,16.8,15.1,6.8,75.0,46.1,32.9,21.0,18.4,44.3,37.3,36.7,76.1,53.0,63.8,85.2,76.5,41.3
2016.0,Todd Frazier,White Sox,158.0,666.0,15.0,0.239,0.236,5.0,4.0,0.73,15.7,35.6,48.7,18.5,19.0,3.9,50.0,48.7,28.5,22.8,20.7,48.0,31.3,32.6,65.6,46.7,60.2,81.9,73.3,42.8
2017.0,Todd Frazier,2 Teams,147.0,576.0,4.0,0.215,0.226,3.0,3.1,0.72,18.4,34.2,47.5,18.5,16.1,5.8,0.0,48.6,29.7,21.8,23.2,44.6,32.2,25.0,60.2,40.2,67.1,82.2,76.9,43.3
2018.0,Todd Frazier,Mets,115.0,472.0,9.0,0.176,0.241,4.0,3.7,0.78,18.8,35.5,45.7,12.2,12.9,7.4,0.0,49.7,30.3,20.1,17.4,41.8,40.8,26.8,59.1,40.5,65.6,85.7,78.0,42.3
2019.0,Todd Frazier,Mets,133.0,499.0,1.0,0.192,0.284,2.0,3.0,0.81,21.8,35.0,43.2,12.2,14.3,5.0,100.0,49.9,32.0,18.2,19.9,46.6,33.4,28.5,63.7,42.7,61.1,85.6,75.9,40.5
2015.0,Jackie Bradley Jr.,Red Sox,74.0,255.0,3.0,0.249,0.31,0.0,7.2,1.32,15.6,48.1,36.4,5.4,17.9,6.8,0.0,45.5,32.1,22.4,16.7,51.3,32.1,26.7,65.3,43.7,56.6,79.2,71.5,44.1
2016.0,Jackie Bradley Jr.,Red Sox,156.0,636.0,9.0,0.219,0.312,2.0,5.9,1.38,18.4,47.3,34.4,11.1,18.1,6.1,0.0,46.0,34.3,19.8,16.0,48.1,36.0,29.1,65.3,45.1,62.7,83.3,75.9,44.5
2017.0,Jackie Bradley Jr.,Red Sox,133.0,541.0,8.0,0.158,0.294,3.0,4.5,1.5,18.4,49.0,32.6,8.5,14.5,7.4,0.0,41.9,33.6,24.4,17.5,49.2,33.3,30.0,67.9,47.1,60.7,78.7,72.4,45.0
2018.0,Jackie Bradley Jr.,Red Sox,144.0,535.0,17.0,0.169,0.299,1.0,7.1,1.19,20.6,43.1,36.3,6.5,10.6,8.2,50.0,45.2,34.3,20.5,10.0,49.0,41.1,27.8,71.4,47.0,57.4,79.1,71.9,43.9
2019.0,Jackie Bradley Jr.,Red Sox,147.0,567.0,8.0,0.196,0.281,6.0,4.6,1.48,17.0,49.6,33.4,8.8,18.4,4.7,0.0,42.2,34.6,23.3,16.0,48.3,35.8,30.0,71.5,48.0,56.5,76.4,69.4,43.4
2015.0,Justin Upton,Padres,150.0,620.0,19.0,0.203,0.304,5.0,5.7,0.88,17.3,38.7,44.1,6.4,15.2,10.0,0.0,39.4,35.8,24.7,15.2,49.5,35.3,24.2,69.1,44.5,51.5,78.0,70.1,45.1
2016.0,Justin Upton,Tigers,153.0,626.0,9.0,0.219,0.301,4.0,4.2,0.9,18.3,38.7,43.0,11.2,18.3,2.6,0.0,39.2,36.4,24.4,21.1,41.0,37.9,25.7,65.9,44.1,56.9,78.5,71.7,45.8
2017.0,Justin Upton,2 Teams,152.0,635.0,14.0,0.268,0.341,5.0,4.0,0.84,19.6,36.8,43.7,9.1,21.2,4.3,0.0,38.6,35.7,25.7,19.8,39.2,41.0,26.9,66.1,44.4,58.5,78.5,71.7,44.6
2018.0,Justin Upton,Angels,145.0,613.0,8.0,0.206,0.321,2.0,3.8,1.18,21.8,42.4,35.8,9.2,23.1,12.3,0.0,46.6,32.5,20.9,16.8,39.4,43.8,24.9,66.4,42.6,55.6,79.5,71.5,42.7
2019.0,Justin Upton,Angels,63.0,256.0,1.0,0.201,0.261,1.0,2.4,0.82,16.4,37.7,45.9,17.9,17.9,5.5,0.0,46.6,32.2,21.2,19.9,39.0,41.1,26.8,65.0,43.2,48.8,79.4,68.7,43.1
2015.0,Evan Longoria,Rays,160.0,670.0,3.0,0.166,0.309,1.0,2.6,0.96,20.6,39.0,40.4,10.8,10.8,3.2,0.0,41.9,32.1,26.0,15.0,54.2,30.8,30.6,67.8,47.3,66.6,84.9,78.4,44.9
2016.0,Evan Longoria,Rays,160.0,685.0,0.0,0.248,0.298,3.0,2.7,0.68,21.4,31.9,46.8,11.6,15.5,8.2,0.0,42.9,34.5,22.6,17.1,46.6,36.3,33.7,67.2,48.8,62.6,83.2,75.4,45.2
2017.0,Evan Longoria,Rays,156.0,677.0,6.0,0.163,0.282,1.0,3.8,1.18,19.8,43.4,36.8,14.2,10.5,5.4,0.0,42.8,32.0,25.2,18.0,47.7,34.3,34.9,69.4,49.8,71.3,87.4,81.0,43.1
2018.0,Evan Longoria,Giants,125.0,512.0,3.0,0.169,0.274,1.0,4.2,1.09,18.5,42.4,39.1,10.0,10.7,5.5,0.0,41.9,32.3,25.8,15.6,43.2,41.1,33.1,68.3,48.6,70.7,86.9,80.7,43.9
2019.0,Evan Longoria,Giants,129.0,508.0,3.0,0.183,0.291,1.0,3.6,1.1,21.7,41.0,37.3,4.7,15.5,6.3,0.0,39.3,39.9,20.8,11.0,44.8,44.2,32.6,66.6,46.8,67.6,82.9,76.7,41.7
2015.0,Joc Pederson,Dodgers,151.0,585.0,4.0,0.206,0.262,7.0,2.4,0.98,15.8,41.8,42.4,15.2,19.7,3.1,33.3,43.6,34.7,21.7,20.4,42.4,37.3,26.5,65.1,42.4,49.0,77.0,66.7,41.3
2016.0,Joc Pederson,Dodgers,137.0,476.0,6.0,0.249,0.296,2.0,3.2,1.0,20.6,39.7,39.7,11.1,23.1,6.5,42.9,41.6,37.3,21.1,17.2,44.1,38.7,27.4,61.7,41.4,60.8,84.2,75.0,40.8
2017.0,Joc Pederson,Dodgers,102.0,323.0,4.0,0.194,0.241,3.0,3.5,1.35,18.9,46.6,34.5,11.3,15.5,3.1,0.0,48.5,30.1,21.4,19.4,47.6,33.0,24.9,67.2,43.1,63.7,84.7,77.8,43.0
2018.0,Joc Pederson,Dodgers,148.0,443.0,1.0,0.273,0.253,5.0,4.0,0.9,17.0,39.4,43.6,10.3,18.4,5.7,0.0,42.7,34.4,22.9,15.6,42.4,42.0,33.1,62.6,45.6,66.9,83.2,76.4,42.4
2019.0,Joc Pederson,Dodgers,149.0,514.0,1.0,0.289,0.249,1.0,3.7,1.02,17.4,41.8,40.9,15.8,25.9,4.9,100.0,49.0,33.1,17.9,16.4,38.4,45.2,30.2,68.0,45.7,67.9,84.0,77.7,41.2
2015.0,A.J. Pollock,Diamondbacks,157.0,673.0,39.0,0.182,0.338,7.0,7.1,1.74,20.8,50.3,29.0,9.2,13.2,7.2,100.0,38.8,36.9,24.4,14.9,50.7,34.4,30.2,64.0,46.0,67.0,94.6,85.0,46.7
2016.0,A.J. Pollock,Diamondbacks,12.0,46.0,4.0,0.146,0.258,0.0,7.0,0.88,9.1,42.4,48.5,6.3,12.5,7.1,0.0,51.5,30.3,18.2,21.2,51.5,27.3,21.1,56.7,36.3,73.7,89.5,84.2,42.7
2017.0,A.J. Pollock,Diamondbacks,112.0,466.0,20.0,0.205,0.291,6.0,7.5,1.39,23.3,44.6,32.1,12.4,12.4,6.4,0.0,43.2,37.3,19.5,19.8,45.2,35.0,27.0,60.4,42.3,66.1,92.7,83.6,45.9
2018.0,A.J. Pollock,Diamondbacks,113.0,460.0,13.0,0.228,0.284,2.0,6.7,1.1,19.4,42.2,38.4,8.1,17.1,7.4,0.0,48.6,32.7,18.7,11.2,44.2,44.5,33.6,67.3,48.1,58.4,90.6,77.8,43.0
2019.0,A.J. Pollock,Dodgers,86.0,342.0,5.0,0.201,0.3,1.0,4.9,1.18,19.8,43.5,36.7,12.6,17.2,7.8,0.0,47.1,32.4,20.6,17.2,39.1,43.7,31.6,67.1,46.6,54.8,88.7,75.4,42.2
2015.0,Jason Kipnis,Indians,141.0,641.0,12.0,0.149,0.356,8.0,5.3,1.6,26.8,45.0,28.1,6.9,6.9,4.8,33.3,35.3,36.1,28.6,15.4,54.1,30.6,26.7,62.4,43.1,67.4,92.1,83.9,46.1
2016.0,Jason Kipnis,Indians,156.0,688.0,15.0,0.193,0.324,3.0,5.4,1.04,23.7,38.9,37.4,6.9,13.1,4.4,25.0,40.8,35.1,24.2,13.4,50.8,35.7,27.5,62.0,43.0,66.9,90.0,81.9,44.9
2017.0,Jason Kipnis,Indians,90.0,373.0,6.0,0.182,0.256,2.0,3.8,0.82,19.6,36.3,44.1,11.8,10.1,8.2,0.0,39.7,33.1,27.2,22.1,47.8,30.1,29.3,63.9,45.8,63.1,88.6,80.1,47.6
2018.0,Jason Kipnis,Indians,147.0,601.0,7.0,0.158,0.258,1.0,3.9,0.75,21.6,33.7,44.7,10.2,9.7,3.6,66.7,39.3,36.5,24.2,19.2,46.0,34.8,28.3,62.1,42.7,66.1,90.1,81.0,42.7
2019.0,Jason Kipnis,Indians,121.0,511.0,7.0,0.166,0.265,2.0,3.7,0.97,18.9,39.9,41.2,10.5,11.1,9.5,50.0,43.3,34.4,22.3,14.4,48.8,36.7,29.6,67.0,46.0,63.6,91.4,81.3,43.8
2015.0,Daniel Murphy,Mets,130.0,538.0,2.0,0.168,0.278,2.0,2.7,1.19,21.2,42.8,36.0,10.1,8.3,3.5,0.0,40.7,31.3,28.1,17.1,51.8,31.0,33.6,71.5,49.4,83.5,97.5,91.9,41.7
2016.0,Daniel Murphy,Nationals,142.0,582.0,5.0,0.249,0.348,3.0,4.4,0.87,21.8,36.3,41.9,8.9,12.4,6.3,0.0,41.3,33.0,25.7,12.9,49.0,38.2,33.5,64.8,46.8,79.1,95.6,88.8,42.6
2017.0,Daniel Murphy,Nationals,144.0,593.0,2.0,0.221,0.341,0.0,3.8,0.86,27.6,33.5,38.9,13.4,12.8,1.3,0.0,39.1,36.3,24.6,16.7,47.6,35.7,31.2,67.1,47.1,77.5,93.5,87.6,44.4
2018.0,Daniel Murphy,2 Teams,91.0,351.0,3.0,0.155,0.308,0.0,3.0,0.89,25.8,35.1,39.2,4.4,10.5,5.9,0.0,34.4,29.6,36.1,12.7,61.2,26.1,34.0,70.7,50.8,77.5,93.7,87.8,45.7
2019.0,Daniel Murphy,Rockies,132.0,478.0,1.0,0.174,0.307,1.0,2.5,1.1,24.2,39.7,36.1,9.0,9.8,5.5,0.0,38.9,34.2,26.9,16.8,52.7,30.4,33.9,68.7,48.2,78.6,94.2,87.7,41.1
2015.0,Brandon Belt,Giants,137.0,556.0,9.0,0.197,0.363,3.0,5.3,0.88,28.7,33.3,37.9,0.8,13.6,4.3,100.0,38.4,35.8,25.8,11.5,48.7,39.8,28.6,80.9,49.9,62.3,80.7,74.4,40.6
2016.0,Brandon Belt,Giants,156.0,655.0,0.0,0.199,0.346,4.0,3.7,0.57,27.8,26.3,46.0,6.0,9.3,4.8,50.0,36.2,33.4,30.4,16.6,47.0,36.4,25.5,78.9,47.5,56.3,85.4,76.3,41.2
2017.0,Brandon Belt,Giants,104.0,451.0,3.0,0.228,0.284,2.0,4.2,0.63,23.4,29.7,46.9,11.7,14.1,3.7,50.0,39.4,37.6,22.9,14.0,47.7,38.4,22.0,75.4,45.3,62.6,81.7,76.5,43.7
2018.0,Brandon Belt,Giants,112.0,456.0,4.0,0.16,0.311,0.0,4.1,0.51,28.8,24.0,47.2,4.4,10.3,10.1,66.7,39.8,30.3,29.9,17.3,41.2,41.5,27.7,76.2,48.6,58.6,84.8,76.3,43.1
2019.0,Brandon Belt,Giants,156.0,616.0,4.0,0.169,0.275,3.0,3.6,0.58,23.0,28.3,48.7,7.8,8.8,0.0,100.0,41.4,32.8,25.8,13.6,45.7,40.7,26.8,75.1,46.0,66.7,86.8,79.8,39.9
2015.0,José Abreu,White Sox,154.0,668.0,0.0,0.212,0.333,0.0,2.5,1.47,20.7,47.3,32.1,10.5,19.7,4.0,0.0,37.6,35.9,26.6,16.9,48.9,34.2,36.9,67.1,49.5,63.1,87.1,76.6,41.5
2016.0,José Abreu,White Sox,159.0,695.0,0.0,0.175,0.327,2.0,1.3,1.37,21.3,45.5,33.3,11.2,14.8,7.4,0.0,36.0,34.1,29.9,20.3,47.0,32.7,39.7,69.3,51.6,65.9,87.5,77.6,40.2
2017.0,José Abreu,White Sox,156.0,675.0,3.0,0.248,0.33,0.0,4.4,1.24,18.2,45.3,36.4,7.1,17.9,6.1,0.0,38.7,33.6,27.7,15.8,43.7,40.5,33.0,67.7,48.2,63.5,88.8,79.1,43.8
2018.0,José Abreu,White Sox,128.0,553.0,2.0,0.208,0.294,0.0,3.1,1.28,21.2,44.2,34.6,13.9,16.1,5.7,0.0,39.1,39.9,21.0,17.2,44.9,37.9,37.2,65.9,49.0,66.9,86.9,77.9,41.1
2019.0,José Abreu,White Sox,159.0,693.0,2.0,0.219,0.32,2.0,2.3,1.45,21.7,46.3,31.9,8.9,21.0,6.6,0.0,44.3,29.7,26.0,15.7,43.7,40.7,37.3,67.1,49.5,62.1,89.2,77.2,41.0
2015.0,Michael Brantley,Indians,137.0,596.0,15.0,0.17,0.318,1.0,4.0,1.45,22.5,45.8,31.7,5.3,9.9,5.5,66.7,42.7,32.7,24.6,15.9,53.2,30.8,24.6,64.3,42.7,84.4,96.3,92.6,45.7
2016.0,Michael Brantley,Indians,11.0,43.0,1.0,0.051,0.265,0.0,5.2,1.36,23.5,44.1,32.4,9.1,0.0,0.0,0.0,38.2,38.2,23.5,17.6,50.0,32.4,24.7,67.1,46.4,75.0,94.7,89.6,51.2
2017.0,Michael Brantley,Indians,90.0,375.0,11.0,0.145,0.325,1.0,5.0,1.73,22.3,49.3,28.4,6.0,10.8,4.9,0.0,39.7,34.9,25.3,14.0,52.1,33.9,24.7,65.9,44.1,73.5,95.2,88.8,47.2
2018.0,Michael Brantley,Indians,143.0,631.0,12.0,0.16,0.319,3.0,4.8,1.49,24.7,45.0,30.3,3.8,10.9,3.9,50.0,40.4,36.8,22.8,12.2,50.7,37.1,27.1,65.8,44.1,78.7,97.3,90.9,43.9
2019.0,Michael Brantley,Astros,148.0,637.0,3.0,0.191,0.32,2.0,3.2,1.47,23.9,45.3,30.8,3.2,14.0,2.2,100.0,40.2,33.5,26.3,13.3,45.0,41.7,29.2,61.5,43.7,82.3,95.8,90.8,44.9
2015.0,Kolten Wong,Cardinals,150.0,613.0,15.0,0.124,0.296,8.0,5.3,1.36,22.5,44.7,32.8,15.1,7.2,5.8,25.0,40.5,36.0,23.6,21.4,51.4,27.2,35.0,73.3,50.2,70.4,90.8,82.2,39.6
2016.0,Kolten Wong,Cardinals,121.0,361.0,7.0,0.115,0.268,0.0,6.8,1.35,19.9,46.0,34.1,6.7,5.6,5.8,60.0,45.1,32.0,22.9,19.9,54.1,25.9,30.3,69.7,46.8,69.6,91.4,83.2,41.9
2017.0,Kolten Wong,Cardinals,108.0,411.0,8.0,0.127,0.331,2.0,5.4,1.51,20.1,48.1,31.8,10.9,4.3,7.2,44.4,38.3,33.2,28.5,20.8,51.0,28.2,25.2,68.1,45.6,69.2,87.5,82.2,47.7
2018.0,Kolten Wong,Cardinals,127.0,407.0,6.0,0.139,0.275,5.0,4.0,1.57,19.9,48.9,31.2,14.8,10.2,9.4,20.0,40.4,35.4,24.2,21.5,50.3,28.1,24.9,62.3,41.6,71.3,88.8,83.0,44.6
2019.0,Kolten Wong,Cardinals,148.0,549.0,24.0,0.138,0.321,4.0,5.9,1.24,20.4,44.0,35.6,11.8,8.1,9.5,45.8,37.9,36.5,25.6,20.7,45.3,34.0,31.4,69.6,47.4,70.7,92.1,83.8,41.8
2015.0,Russell Martin,Blue Jays,129.0,507.0,4.0,0.218,0.262,5.0,4.0,1.53,16.4,50.6,33.0,18.9,20.7,6.5,25.0,38.2,35.9,25.9,16.8,54.1,29.1,23.3,60.3,40.9,62.7,86.6,79.5,47.7
2016.0,Russell Martin,Blue Jays,137.0,535.0,2.0,0.167,0.291,1.0,2.2,1.31,17.9,46.5,35.6,13.5,18.0,3.4,0.0,37.4,36.7,25.9,18.8,47.6,33.5,21.4,59.1,38.9,53.3,80.1,72.2,46.5
2017.0,Russell Martin,Blue Jays,91.0,365.0,1.0,0.166,0.261,2.0,2.2,1.71,23.7,48.2,28.1,12.7,20.6,1.9,0.0,40.0,37.3,22.7,16.4,53.3,30.2,19.5,62.1,40.0,61.3,82.8,77.4,48.3
2018.0,Russell Martin,Blue Jays,90.0,352.0,0.0,0.131,0.234,3.0,1.7,1.47,14.0,51.2,34.8,19.4,13.9,4.7,0.0,40.6,39.6,19.8,22.7,47.3,30.0,14.4,59.2,34.3,55.1,83.7,77.0,44.4
2019.0,Russell Martin,Dodgers,83.0,249.0,1.0,0.11,0.276,0.0,2.7,1.77,21.2,50.3,28.5,14.0,14.0,13.2,0.0,49.7,31.1,19.2,17.9,49.0,33.1,20.6,63.3,40.3,45.8,85.9,74.9,46.3
2015.0,Ender Inciarte,Diamondbacks,132.0,561.0,21.0,0.105,0.329,10.0,6.0,2.03,21.7,52.4,25.9,8.5,5.1,7.5,47.1,34.0,32.8,33.2,19.9,54.1,26.0,34.1,60.9,46.7,82.3,94.2,89.6,47.0
2016.0,Ender Inciarte,Braves,131.0,578.0,16.0,0.09,0.329,7.0,6.3,1.84,23.7,49.4,26.8,15.7,2.5,7.2,20.0,31.9,35.1,33.0,23.0,54.2,22.8,32.8,63.1,46.1,83.3,94.9,90.3,43.7
2017.0,Ender Inciarte,Braves,158.0,718.0,22.0,0.106,0.339,9.0,5.4,1.61,23.9,47.0,29.1,8.1,6.8,6.5,33.3,30.3,38.5,31.2,20.9,57.0,22.1,36.0,71.2,52.2,78.3,92.4,87.2,46.0
2018.0,Ender Inciarte,Braves,156.0,660.0,28.0,0.116,0.293,14.0,6.1,1.46,24.0,45.1,30.9,5.8,6.4,9.2,21.4,40.1,35.3,24.7,19.7,48.7,31.6,31.0,71.0,49.1,80.4,90.4,86.9,45.3
2019.0,Ender Inciarte,Braves,65.0,230.0,7.0,0.151,0.286,1.0,6.5,1.74,23.9,48.4,27.7,9.3,11.6,4.0,50.0,41.5,31.4,27.0,22.6,44.7,32.7,31.3,70.0,49.0,73.2,87.2,82.4,45.8
2015.0,César Hernández,Phillies,127.0,452.0,19.0,0.077,0.342,5.0,6.4,2.48,23.8,54.3,21.9,3.0,1.5,7.9,36.4,32.1,37.0,30.9,21.6,54.6,23.8,27.1,69.4,46.0,58.6,89.7,79.5,44.6
2016.0,César Hernández,Phillies,155.0,622.0,17.0,0.099,0.363,13.0,5.7,2.65,24.4,54.9,20.7,7.1,7.1,9.3,53.6,36.5,34.0,29.5,18.9,55.0,26.0,24.3,68.0,44.3,63.1,89.9,82.0,45.9
2017.0,César Hernández,Phillies,128.0,577.0,15.0,0.127,0.353,5.0,6.0,2.14,22.6,52.8,24.6,3.1,9.3,13.0,64.3,35.8,37.7,26.5,23.5,54.4,22.1,21.6,61.4,40.3,62.3,88.0,80.7,47.0
2018.0,César Hernández,Phillies,161.0,708.0,19.0,0.109,0.315,6.0,5.0,1.37,20.5,45.9,33.6,4.8,10.2,8.0,50.0,40.3,32.2,27.5,20.5,55.5,24.0,20.3,58.8,37.6,60.0,89.7,80.9,45.0
2019.0,César Hernández,Phillies,161.0,667.0,9.0,0.129,0.313,2.0,4.5,1.69,22.7,48.6,28.7,12.9,9.5,8.8,100.0,38.0,33.1,28.9,21.1,46.1,32.8,29.8,65.4,45.5,73.8,90.6,84.5,44.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016.0,Whit Merrifield,Royals,81.0,332.0,8.0,0.109,0.361,3.0,5.9,1.5,25.5,44.7,29.8,1.4,2.9,5.7,33.3,34.4,33.2,32.4,12.0,52.3,35.7,33.9,63.5,47.6,67.3,92.1,82.6,46.2
2017.0,Whit Merrifield,Royals,145.0,630.0,34.0,0.172,0.308,8.0,6.7,0.93,21.8,37.7,40.5,7.4,9.4,11.2,50.0,33.5,35.7,30.8,15.4,54.0,30.6,34.3,68.8,50.6,70.9,91.8,84.3,47.1
2018.0,Whit Merrifield,Royals,158.0,707.0,45.0,0.134,0.352,10.0,6.1,0.99,29.8,34.9,35.3,14.7,6.5,4.4,40.0,33.7,35.4,31.0,15.4,47.7,36.9,32.9,67.7,47.7,73.1,88.4,82.3,42.5
2019.0,Whit Merrifield,Royals,162.0,735.0,20.0,0.16,0.35,10.0,6.3,1.14,28.5,38.0,33.5,7.1,8.7,10.0,50.0,36.6,35.5,28.0,13.8,47.8,38.4,34.1,69.1,49.1,73.4,87.2,81.7,42.9
2015.0,Yoenis Céspedes,2 Teams,159.0,676.0,7.0,0.251,0.323,5.0,5.1,1.1,20.4,41.7,37.9,9.0,18.6,8.2,0.0,43.7,34.8,21.5,14.1,50.1,35.8,37.5,65.1,49.2,67.8,86.5,78.3,42.5
